Person_ID,Aracade_Game,Adventure_Game,Game,Proficency 
1,NO,YES,GAME_2,MISSING_VALUE
2,NO,YES,GAME_1,MISSING_VALUE
3,NO,YES,GAME_1,MISSING_VALUE
4,NO,YES,GAME_1,MISSING_VALUE
5,NO,YES,GAME_1,MISSING_VALUE
6,NO,YES,GAME_1,MISSING_VALUE
7,NO,YES,GAME_3,MISSING_VALUE
8,NO,YES,GAME_3,MISSING_VALUE
9,NO,YES,GAME_1,MISSING_VALUE
10,NO,YES,GAME_1,MISSING_VALUE
11,NO,YES,GAME_2,MISSING_VALUE
12,NO,YES,GAME_2,MISSING_VALUE
13,NO,YES,MISSING_VALUE,LEVEL_4
14,NO,YES,GAME_1,MISSING_VALUE
15,NO,YES,GAME_1,MISSING_VALUE
16,NO,YES,GAME_1,MISSING_VALUE
17,NO,YES,GAME_2,MISSING_VALUE
18,NO,YES,GAME_1,MISSING_VALUE
19,NO,YES,GAME_1,LEVEL_4
20,NO,YES,GAME_3,MISSING_VALUE
21,NO,YES,GAME_4,MISSING_VALUE
22,NO,YES,GAME_3,LEVEL_4
23,NO,YES,GAME_1,MISSING_VALUE
24,NO,YES,GAME_1,MISSING_VALUE
25,NO,NO,GAME_4,MISSING_VALUE
26,NO,YES,GAME_1,MISSING_VALUE
27,NO,YES,GAME_3,MISSING_VALUE
28,NO,YES,GAME_1,MISSING_VALUE
29,NO,YES,GAME_1,MISSING_VALUE
30,NO,YES,GAME_1,MISSING_VALUE
31,NO,YES,GAME_1,MISSING_VALUE
32,NO,NO,GAME_2,MISSING_VALUE
33,NO,YES,GAME_3,MISSING_VALUE
34,NO,YES,GAME_1,MISSING_VALUE
35,NO,YES,GAME_2,MISSING_VALUE
36,NO,YES,GAME_3,MISSING_VALUE
37,NO,YES,GAME_1,MISSING_VALUE
38,NO,YES,GAME_3,MISSING_VALUE
39,NO,YES,GAME_3,MISSING_VALUE
40,NO,YES,GAME_3,MISSING_VALUE
41,NO,YES,GAME_3,MISSING_VALUE
42,NO,YES,GAME_1,MISSING_VALUE
43,NO,YES,GAME_2,MISSING_VALUE
44,NO,YES,GAME_3,MISSING_VALUE
45,NO,YES,GAME_3,MISSING_VALUE
46,NO,YES,GAME_4,MISSING_VALUE
47,NO,YES,GAME_3,MISSING_VALUE
48,NO,YES,GAME_1,MISSING_VALUE
49,NO,YES,GAME_1,MISSING_VALUE
50,NO,YES,GAME_1,MISSING_VALUE
51,NO,YES,GAME_1,MISSING_VALUE
52,NO,YES,GAME_1,MISSING_VALUE
53,NO,NO,GAME_1,MISSING_VALUE
54,NO,YES,GAME_3,MISSING_VALUE
55,NO,YES,GAME_1,MISSING_VALUE
56,NO,YES,GAME_2,MISSING_VALUE
57,NO,YES,GAME_1,MISSING_VALUE
58,NO,YES,GAME_1,MISSING_VALUE
59,NO,YES,GAME_1,MISSING_VALUE
60,NO,YES,GAME_1,MISSING_VALUE
61,NO,YES,GAME_4,MISSING_VALUE
62,NO,YES,GAME_1,MISSING_VALUE
63,NO,YES,GAME_1,MISSING_VALUE
64,NO,YES,GAME_3,MISSING_VALUE
65,NO,YES,GAME_1,MISSING_VALUE
66,NO,YES,GAME_1,MISSING_VALUE
67,NO,YES,GAME_1,MISSING_VALUE
68,NO,YES,GAME_3,MISSING_VALUE
69,NO,YES,GAME_1,MISSING_VALUE
70,NO,YES,GAME_4,MISSING_VALUE
71,NO,YES,GAME_1,MISSING_VALUE
72,NO,YES,GAME_4,MISSING_VALUE
73,NO,YES,GAME_1,MISSING_VALUE
74,NO,YES,GAME_1,MISSING_VALUE
75,NO,YES,GAME_1,MISSING_VALUE
76,NO,YES,GAME_1,MISSING_VALUE
77,NO,YES,GAME_4,MISSING_VALUE
78,NO,YES,GAME_1,MISSING_VALUE
79,NO,YES,GAME_3,MISSING_VALUE
80,NO,YES,GAME_1,MISSING_VALUE
81,NO,YES,GAME_1,MISSING_VALUE
82,NO,YES,GAME_2,MISSING_VALUE
83,NO,YES,GAME_1,MISSING_VALUE
84,NO,YES,GAME_2,MISSING_VALUE
85,NO,YES,GAME_1,MISSING_VALUE
86,NO,YES,GAME_1,MISSING_VALUE
87,NO,YES,GAME_1,MISSING_VALUE
88,YES,YES,GAME_4,MISSING_VALUE
89,NO,YES,MISSING_VALUE,MISSING_VALUE
90,NO,YES,MISSING_VALUE,MISSING_VALUE
91,NO,YES,GAME_3,MISSING_VALUE
92,NO,YES,MISSING_VALUE,MISSING_VALUE
93,NO,NO,MISSING_VALUE,MISSING_VALUE
94,YES,YES,MISSING_VALUE,MISSING_VALUE
95,NO,YES,MISSING_VALUE,MISSING_VALUE
96,NO,YES,MISSING_VALUE,MISSING_VALUE
97,YES,YES,MISSING_VALUE,MISSING_VALUE
98,NO,YES,MISSING_VALUE,MISSING_VALUE
99,NO,YES,MISSING_VALUE,MISSING_VALUE
100,YES,YES,MISSING_VALUE,MISSING_VALUE
101,NO,YES,MISSING_VALUE,MISSING_VALUE
102,YES,YES,GAME_2,MISSING_VALUE
103,NO,YES,GAME_1,MISSING_VALUE
104,NO,YES,MISSING_VALUE,MISSING_VALUE
105,NO,YES,MISSING_VALUE,MISSING_VALUE
106,NO,YES,MISSING_VALUE,MISSING_VALUE
107,NO,YES,GAME_1,MISSING_VALUE
108,NO,YES,MISSING_VALUE,MISSING_VALUE
109,NO,YES,MISSING_VALUE,MISSING_VALUE
110,NO,YES,MISSING_VALUE,MISSING_VALUE
111,NO,YES,MISSING_VALUE,MISSING_VALUE
112,NO,YES,MISSING_VALUE,MISSING_VALUE
113,YES,YES,GAME_3,MISSING_VALUE
114,NO,YES,MISSING_VALUE,MISSING_VALUE
115,NO,YES,MISSING_VALUE,MISSING_VALUE
116,NO,YES,MISSING_VALUE,MISSING_VALUE
117,NO,YES,MISSING_VALUE,MISSING_VALUE
118,NO,YES,MISSING_VALUE,MISSING_VALUE
119,YES,YES,MISSING_VALUE,MISSING_VALUE
120,NO,YES,MISSING_VALUE,MISSING_VALUE
121,NO,YES,MISSING_VALUE,MISSING_VALUE
122,YES,YES,GAME_2,MISSING_VALUE
123,NO,YES,MISSING_VALUE,MISSING_VALUE
124,NO,YES,MISSING_VALUE,MISSING_VALUE
125,NO,YES,MISSING_VALUE,MISSING_VALUE
126,NO,YES,GAME_1,MISSING_VALUE
127,NO,YES,GAME_1,MISSING_VALUE
128,NO,YES,GAME_1,MISSING_VALUE
129,NO,YES,MISSING_VALUE,MISSING_VALUE
130,NO,YES,MISSING_VALUE,MISSING_VALUE
131,YES,YES,MISSING_VALUE,MISSING_VALUE
132,NO,YES,GAME_3,MISSING_VALUE
133,NO,YES,MISSING_VALUE,MISSING_VALUE
134,NO,YES,MISSING_VALUE,MISSING_VALUE
