,Aracade_Game,Adventure_Game,Game,Proficiency
0,NO,YES,GAME_2,LEVEL_2
1,NO,YES,GAME_1,LEVEL_4
2,NO,YES,GAME_1,LEVEL_4
3,NO,YES,GAME_1,LEVEL_4
4,NO,YES,GAME_1,LEVEL_4
5,NO,YES,GAME_1,LEVEL_4
6,NO,YES,GAME_3,LEVEL_2
7,NO,YES,GAME_3,LEVEL_2
8,NO,YES,GAME_1,LEVEL_4
9,NO,YES,GAME_1,LEVEL_4
10,NO,YES,GAME_2,LEVEL_2
11,NO,YES,GAME_2,LEVEL_2
12,NO,YES,GAME_1,LEVEL_4
13,NO,YES,GAME_1,LEVEL_4
14,NO,YES,GAME_1,LEVEL_4
15,NO,YES,GAME_2,LEVEL_2
16,NO,YES,GAME_1,LEVEL_4
17,NO,YES,GAME_3,LEVEL_2
18,NO,YES,GAME_4,LEVEL_3
19,NO,YES,GAME_1,LEVEL_4
20,NO,YES,GAME_1,LEVEL_4
21,NO,NO,GAME_4,LEVEL_2
22,NO,YES,GAME_1,LEVEL_4
23,NO,YES,GAME_3,LEVEL_2
24,NO,YES,GAME_1,LEVEL_4
25,NO,YES,GAME_1,LEVEL_4
26,NO,YES,GAME_1,LEVEL_4
27,NO,YES,GAME_1,LEVEL_4
28,NO,NO,GAME_2,LEVEL_2
29,NO,YES,GAME_3,LEVEL_2
30,NO,YES,GAME_1,LEVEL_4
31,NO,YES,GAME_2,LEVEL_2
32,NO,YES,GAME_3,LEVEL_2
33,NO,YES,GAME_1,LEVEL_4
34,NO,YES,GAME_3,LEVEL_2
35,NO,YES,GAME_3,LEVEL_2
36,NO,YES,GAME_3,LEVEL_2
37,NO,YES,GAME_3,LEVEL_2
38,NO,YES,GAME_1,LEVEL_4
39,NO,YES,GAME_2,LEVEL_2
40,NO,YES,GAME_3,LEVEL_2
41,NO,YES,GAME_3,LEVEL_2
42,NO,YES,GAME_4,LEVEL_3
43,NO,YES,GAME_3,LEVEL_2
44,NO,YES,GAME_1,LEVEL_4
45,NO,YES,GAME_1,LEVEL_4
46,NO,YES,GAME_1,LEVEL_4
47,NO,YES,GAME_1,LEVEL_4
48,NO,YES,GAME_1,LEVEL_4
49,NO,NO,GAME_1,LEVEL_4
50,NO,YES,GAME_3,LEVEL_2
51,NO,YES,GAME_1,LEVEL_4
52,NO,YES,GAME_2,LEVEL_2
53,NO,YES,GAME_1,LEVEL_4
54,NO,YES,GAME_1,LEVEL_4
55,NO,YES,GAME_1,LEVEL_4
56,NO,YES,GAME_1,LEVEL_4
57,NO,YES,GAME_4,LEVEL_3
58,NO,YES,GAME_1,LEVEL_4
59,NO,YES,GAME_1,LEVEL_4
60,NO,YES,GAME_3,LEVEL_2
61,NO,YES,GAME_1,LEVEL_4
62,NO,YES,GAME_1,LEVEL_4
63,NO,YES,GAME_1,LEVEL_4
64,NO,YES,GAME_3,LEVEL_2
65,NO,YES,GAME_1,LEVEL_4
66,NO,YES,GAME_4,LEVEL_3
67,NO,YES,GAME_1,LEVEL_4
68,NO,YES,GAME_4,LEVEL_3
69,NO,YES,GAME_1,LEVEL_4
70,NO,YES,GAME_1,LEVEL_4
71,NO,YES,GAME_1,LEVEL_4
72,NO,YES,GAME_1,LEVEL_4
73,NO,YES,GAME_4,LEVEL_3
74,NO,YES,GAME_1,LEVEL_4
75,NO,YES,GAME_3,LEVEL_2
76,NO,YES,GAME_1,LEVEL_4
77,NO,YES,GAME_1,LEVEL_4
78,NO,YES,GAME_2,LEVEL_2
79,NO,YES,GAME_1,LEVEL_4
80,NO,YES,GAME_2,LEVEL_2
81,NO,YES,GAME_1,LEVEL_4
82,NO,YES,GAME_1,LEVEL_4
83,NO,YES,GAME_1,LEVEL_4
84,YES,YES,GAME_4,LEVEL_2
85,NO,YES,GAME_3,LEVEL_2
86,YES,YES,GAME_2,LEVEL_2
87,NO,YES,GAME_1,LEVEL_4
88,NO,YES,GAME_1,LEVEL_4
89,YES,YES,GAME_3,LEVEL_2
90,YES,YES,GAME_2,LEVEL_2
91,NO,YES,GAME_1,LEVEL_4
92,NO,YES,GAME_1,LEVEL_4
93,NO,YES,GAME_1,LEVEL_4
94,NO,YES,GAME_3,LEVEL_2
95,YES,YES,GAME_2,LEVEL_2
96,NO,YES,GAME_4,LEVEL_3
97,NO,YES,GAME_2,LEVEL_2
98,NO,YES,GAME_2,LEVEL_2
99,YES,YES,GAME_2,LEVEL_2
100,NO,YES,GAME_2,LEVEL_2
101,NO,YES,GAME_3,LEVEL_2
102,NO,YES,GAME_2,LEVEL_2
103,NO,YES,GAME_2,LEVEL_2
104,NO,YES,GAME_2,LEVEL_2
105,YES,YES,GAME_3,LEVEL_2
106,NO,YES,GAME_2,LEVEL_2
107,NO,YES,GAME_2,LEVEL_2
108,NO,YES,GAME_2,LEVEL_2
109,NO,YES,GAME_2,LEVEL_2
110,NO,YES,GAME_3,LEVEL_2
111,YES,YES,GAME_3,LEVEL_2
112,NO,YES,GAME_1,LEVEL_4
113,NO,YES,GAME_1,LEVEL_4
114,NO,YES,GAME_2,LEVEL_2
115,YES,YES,GAME_3,LEVEL_2
116,NO,YES,GAME_3,LEVEL_2
117,NO,YES,GAME_1,LEVEL_4
118,NO,YES,GAME_3,LEVEL_2
119,NO,YES,GAME_3,LEVEL_2
120,YES,YES,GAME_3,LEVEL_2
121,YES,YES,GAME_3,LEVEL_2
122,YES,YES,GAME_1,LEVEL_2
123,YES,YES,GAME_3,LEVEL_2
124,YES,YES,GAME_3,LEVEL_2
125,NO,YES,GAME_3,LEVEL_2
126,YES,YES,GAME_3,LEVEL_2
127,NO,YES,GAME_1,LEVEL_4
128,YES,YES,GAME_3,LEVEL_2
129,NO,YES,GAME_2,LEVEL_2
130,YES,YES,GAME_3,LEVEL_2
131,YES,YES,GAME_2,LEVEL_2
132,YES,YES,GAME_2,LEVEL_2
133,YES,YES,GAME_2,LEVEL_2
134,YES,YES,GAME_1,LEVEL_2
135,YES,YES,GAME_1,LEVEL_2
136,NO,YES,GAME_3,LEVEL_2
137,YES,YES,GAME_3,LEVEL_2
138,YES,YES,GAME_2,LEVEL_2
139,NO,YES,GAME_1,LEVEL_4
140,NO,YES,GAME_3,LEVEL_2
141,YES,YES,GAME_2,LEVEL_2
142,NO,YES,GAME_3,LEVEL_2
143,YES,YES,GAME_1,LEVEL_2
144,YES,YES,GAME_2,LEVEL_2
145,YES,YES,GAME_3,LEVEL_2
146,YES,YES,GAME_1,LEVEL_2
147,NO,YES,GAME_1,LEVEL_4
148,YES,YES,GAME_1,LEVEL_2
149,YES,YES,GAME_1,LEVEL_2
150,NO,YES,GAME_1,LEVEL_4
151,NO,YES,GAME_1,LEVEL_4
152,NO,YES,GAME_2,LEVEL_2
153,YES,YES,GAME_2,LEVEL_2
154,YES,YES,GAME_1,LEVEL_2
155,NO,YES,GAME_1,LEVEL_4
156,YES,YES,GAME_1,LEVEL_2
157,YES,YES,GAME_3,LEVEL_2
158,YES,YES,GAME_1,LEVEL_2
159,YES,YES,GAME_3,LEVEL_2
160,YES,YES,GAME_3,LEVEL_2
161,NO,YES,GAME_1,LEVEL_4
162,YES,YES,GAME_1,LEVEL_2
163,NO,YES,GAME_1,LEVEL_4
164,NO,YES,GAME_1,LEVEL_4
165,YES,YES,GAME_1,LEVEL_2
166,YES,YES,GAME_1,LEVEL_2
167,YES,YES,GAME_1,LEVEL_2
168,YES,YES,GAME_3,LEVEL_2
169,NO,YES,GAME_1,LEVEL_4
170,NO,YES,GAME_1,LEVEL_4
171,NO,YES,GAME_1,LEVEL_4
172,NO,YES,GAME_1,LEVEL_4
173,YES,YES,GAME_3,LEVEL_2
174,NO,YES,GAME_1,LEVEL_4
175,NO,YES,GAME_3,LEVEL_2
176,NO,YES,GAME_3,LEVEL_2
177,YES,YES,GAME_1,LEVEL_2
178,YES,YES,GAME_1,LEVEL_2
179,YES,YES,GAME_1,LEVEL_2
180,YES,YES,GAME_1,LEVEL_2
181,NO,YES,GAME_1,LEVEL_4
182,YES,YES,GAME_1,LEVEL_2
183,YES,YES,GAME_3,LEVEL_2
184,NO,YES,GAME_1,LEVEL_4
185,YES,YES,GAME_3,LEVEL_2
186,YES,YES,GAME_1,LEVEL_2
187,NO,YES,GAME_1,LEVEL_4
188,YES,YES,GAME_1,LEVEL_2
189,YES,YES,GAME_1,LEVEL_2
190,YES,YES,GAME_3,LEVEL_2
191,YES,YES,GAME_1,LEVEL_2
192,YES,YES,GAME_4,LEVEL_2
193,YES,YES,GAME_1,LEVEL_2
194,YES,YES,GAME_1,LEVEL_2
195,YES,YES,GAME_1,LEVEL_2
196,YES,YES,GAME_1,LEVEL_2
197,YES,YES,GAME_1,LEVEL_2
198,YES,YES,GAME_1,LEVEL_2
199,YES,YES,GAME_1,LEVEL_2
200,YES,YES,GAME_1,LEVEL_2
201,NO,YES,GAME_1,LEVEL_4
202,YES,YES,GAME_1,LEVEL_2
203,YES,YES,GAME_4,LEVEL_2
204,NO,YES,GAME_1,LEVEL_4
205,YES,YES,GAME_1,LEVEL_2
206,YES,YES,GAME_1,LEVEL_2
207,YES,YES,GAME_1,LEVEL_2
208,YES,YES,GAME_3,LEVEL_2
209,YES,YES,GAME_3,LEVEL_2
210,YES,YES,GAME_3,LEVEL_2
211,YES,YES,GAME_3,LEVEL_2
212,YES,YES,GAME_3,LEVEL_2
213,YES,YES,GAME_2,LEVEL_2
214,YES,YES,GAME_1,LEVEL_2
215,YES,YES,GAME_3,LEVEL_2
216,YES,YES,GAME_2,LEVEL_2
217,YES,YES,GAME_2,LEVEL_2
218,YES,YES,GAME_1,LEVEL_2
219,YES,YES,GAME_3,LEVEL_2
220,YES,YES,GAME_3,LEVEL_2
221,YES,YES,GAME_3,LEVEL_2
222,YES,YES,GAME_3,LEVEL_2
223,YES,YES,GAME_3,LEVEL_2
224,YES,YES,GAME_1,LEVEL_2
225,YES,YES,GAME_1,LEVEL_2
226,YES,YES,GAME_3,LEVEL_2
227,YES,YES,GAME_4,LEVEL_2
228,YES,YES,GAME_1,LEVEL_2
229,YES,YES,GAME_4,LEVEL_2
230,YES,YES,GAME_4,LEVEL_2
231,YES,YES,GAME_1,LEVEL_2
232,YES,YES,GAME_1,LEVEL_2
233,YES,YES,GAME_1,LEVEL_2
234,YES,YES,GAME_1,LEVEL_2
235,NO,YES,GAME_3,LEVEL_2
236,YES,YES,GAME_3,LEVEL_2
237,YES,YES,GAME_3,LEVEL_2
238,YES,YES,GAME_4,LEVEL_2
239,YES,YES,GAME_3,LEVEL_2
240,YES,YES,GAME_1,LEVEL_2
241,YES,YES,GAME_1,LEVEL_2
242,YES,YES,GAME_2,LEVEL_2
243,YES,YES,GAME_3,LEVEL_2
244,YES,YES,GAME_3,LEVEL_2
245,YES,YES,GAME_1,LEVEL_2
246,YES,YES,GAME_1,LEVEL_2
247,YES,YES,GAME_1,LEVEL_2
248,YES,YES,GAME_1,LEVEL_2
249,YES,YES,GAME_1,LEVEL_2
250,YES,YES,GAME_2,LEVEL_2
251,YES,YES,GAME_1,LEVEL_2
252,YES,YES,GAME_3,LEVEL_2
253,YES,YES,GAME_2,LEVEL_2
254,YES,YES,GAME_2,LEVEL_2
255,YES,YES,GAME_1,LEVEL_2
256,YES,YES,GAME_1,LEVEL_2
257,YES,YES,GAME_3,LEVEL_2
258,NO,YES,GAME_2,LEVEL_2
259,YES,YES,GAME_2,LEVEL_2
260,YES,YES,GAME_4,LEVEL_2
261,YES,YES,GAME_1,LEVEL_2
262,NO,YES,GAME_1,LEVEL_4
263,YES,YES,GAME_1,LEVEL_2
264,NO,YES,GAME_3,LEVEL_2
265,YES,YES,GAME_3,LEVEL_2
266,YES,YES,GAME_1,LEVEL_2
267,NO,YES,GAME_3,LEVEL_2
268,YES,YES,GAME_1,LEVEL_2
269,NO,YES,GAME_1,LEVEL_4
